,importance
grid_pos,0.35
driver_skill_rating,0.1567085135035238
team_form3,0.10267284380570847
longstraight_team_form3,0.07292682388932924
team,0.06796952451663282
driver,0.06036463334366524
highdf_team_form3,0.0543919934592355
drv_form3,0.051129546102998524
highdf_driver_form3,0.036795334999673544
longstraight_driver_form3,0.02321550470981645
deg_rate,0.0024693672562769056
surface_bumpiness,0.00233497593859404
wind_sensitivity,0.0023188139514736736
braking_intensity,0.00183313838917933
elevation_change_index,0.0017632124955589883
warmup_penalty,0.0016102391045402483
track_limits_risk,0.0014716673110648894
stint_len_typical,0.0013010567877344567
corner_count,0.001248244506382738
tow_importance,0.001160349852065333
overtake_index,0.0011308173353414665
avg_speed_kph,0.0010744833904623428
long_straight_index,0.0009532224793300278
mechanical_failure_risk,0.0009114183141685612
expected_stops,0.0008485503066378569
is_low_df,0.000806321148208889
is_street,0.0003028545827151283
vsc_prob,9.692945268555337e-05
pit_loss,9.538342962003755e-05
sc_prob,9.423563737592744e-05
