driver,team,grid_pos,pred_finish_rf,pred_finish_extra_trees,pred_finish_elastic_net,pred_finish_model_ensemble,pred_finish,pred_std,pi68_low,pi68_high,pi95_low,pi95_high,pred_low,pred_high,pred_rank,p_win,p_podium,p_top10,p_rank_pm1,ensemble_grid_alpha,ranking_mode_default,raw_pred_finish,raw_pred_rank
NOR,McLaren,1,4.366137410916157,3.491165474140365,4.534603845149774,4.093590519891353,3.0108338379293795,0.6335033586870839,2.350912035223006,3.6007353419747337,2.0099268007352715,4.39290787486947,2.350912035223006,3.6007353419747337,1,0.785,0.983,1.0,0.933,0.65,ensemble_grid_blend,3.0108338379293795,1
ANT,Mercedes,2,4.312588469678079,4.939027052056565,5.265136371279629,4.722351553830859,3.7695285099900584,0.6425580705685908,3.0803914181059238,4.363287728266351,2.667437695798819,5.173445406837781,3.0803914181059238,4.363287728266351,2,0.153,0.898,1.0,0.898,0.65,ensemble_grid_blend,3.7695285099900584,2
VER,Red Bull Racing,3,4.599668268197753,5.000228316405387,5.356779628251459,4.891286557081166,4.229336262102757,0.75822299658718,3.5065210575550427,4.91259635167269,3.113696976672689,6.1051826909584035,3.5065210575550427,4.91259635167269,3,0.053,0.669,1.0,0.758,0.65,ensemble_grid_blend,4.229336262102757,3
HAM,Ferrari,4,5.212033593363572,5.286572391150517,5.29190100951445,5.254095655819178,4.815162176282466,0.6406922494382525,4.207038979062966,5.437869858509605,3.8160063417631944,6.365190881236878,4.207038979062966,5.437869858509605,4,0.007,0.209,1.0,0.699,0.65,ensemble_grid_blend,4.815162176282466,4
LEC,Ferrari,5,4.539777913124766,5.276662843004948,5.140315564206811,4.9177951687992385,4.946566859719505,0.6768108393363593,4.32812600358404,5.548581932437794,3.8053574295968855,6.580220346655156,4.32812600358404,5.548581932437794,5,0.002,0.164,1.0,0.711,0.65,ensemble_grid_blend,4.946566859719505,5
RUS,Mercedes,6,4.844086772960271,5.430427394236025,4.9038796761864445,5.061264571052019,5.389821971183812,0.7124990065202192,4.623952929332809,6.074684357904237,4.164322066237571,6.828993197189951,4.623952929332809,6.074684357904237,6,0.0,0.044,1.0,0.821,0.65,ensemble_grid_blend,5.389821971183812,6
PIA,McLaren,7,4.494047784355316,4.378491081308615,5.5365102341010575,4.6620954282381195,5.480362028354778,0.6695742707142752,4.899150118311925,6.109251593591032,4.387892575492426,7.114310724372531,4.899150118311925,6.109251593591032,7,0.0,0.033,1.0,0.695,0.65,ensemble_grid_blend,5.480362028354778,7
LAW,Red Bull Racing,8,8.910057185972203,8.434616393410497,8.42770929371797,8.64718333012476,8.420669164581094,0.837016002690131,7.540130469052902,9.27314779641863,6.785485764730955,9.924410243897622,7.540130469052902,9.27314779641863,8,0.0,0.0,1.0,0.999,0.65,ensemble_grid_blend,8.420669164581094,8
LIN,Racing Bulls,10,10.45879524006499,10.2809778047103,10.038468583171642,10.31249380631218,10.203120974102916,0.7836465027293313,9.4395797036911,11.012500915812314,8.902223859535258,11.976927336266858,9.4395797036911,11.012500915812314,9,0.0,0.0,0.938,0.938,0.65,ensemble_grid_blend,10.203120974102916,9
COL,Alpine,9,12.386811571706744,12.9126843184228,12.813144432467006,12.656133605209416,11.37648684338612,0.7562583376437089,10.642342986747028,12.210739079251015,9.881795947273343,12.766066905749696,10.642342986747028,12.210739079251015,10,0.0,0.0,0.54,0.766,0.65,ensemble_grid_blend,11.37648684338612,10
HUL,Audi,11,12.238516676049956,12.224077160607889,11.476819886890345,12.081123487813311,11.702730267078653,0.8499238488134299,10.877504767113928,12.630436585295746,9.960293107034875,13.26046385802302,10.877504767113928,12.630436585295746,11,0.0,0.0,0.302,0.857,0.65,ensemble_grid_blend,11.702730267078653,11
GAS,Alpine,14,10.770130262216322,11.668271964909453,11.40884828015083,11.21222346174582,12.187945250134783,0.8927793996703902,11.271834486945924,13.135775276419608,10.643694860536147,14.038669315494568,11.271834486945924,13.135775276419608,12,0.0,0.0,0.144,0.784,0.65,ensemble_grid_blend,12.187945250134783,12
