model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,brier_podium,brier_top10,brier_win,alpha
blend_alpha_0.00,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7363636363636363,3.8325688073394497,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.0
blend_alpha_0.05,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7363636363636363,3.7861204097003203,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.05
blend_alpha_0.10,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7363636363636363,3.739672012061191,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.1
blend_alpha_0.15,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7363636363636363,3.693223614422062,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.15
blend_alpha_0.20,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7409090909090907,3.648558161299822,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.2
blend_alpha_0.25,22,0.5909090909090909,0.6212121212121212,0.09090909090909091,0.7454545454545454,3.6092225471942023,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.25
blend_alpha_0.30,22,0.6363636363636364,0.6212121212121212,0.09090909090909091,0.7454545454545454,3.5738068263713982,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.3
blend_alpha_0.35,22,0.6363636363636364,0.6363636363636364,0.09090909090909091,0.7409090909090907,3.541703454558962,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.35
blend_alpha_0.40,22,0.6818181818181818,0.6666666666666666,0.09090909090909091,0.7409090909090907,3.516355344668739,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.4
blend_alpha_0.45,22,0.7272727272727273,0.6515151515151515,0.09090909090909091,0.7454545454545454,3.4953207088024256,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.45
blend_alpha_0.50,22,0.7272727272727273,0.6515151515151515,0.09090909090909091,0.75,3.4788439103262045,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.5
blend_alpha_0.55,22,0.7272727272727273,0.6515151515151515,0.09090909090909091,0.7590909090909093,3.470313270598748,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.55
blend_alpha_0.60,22,0.7272727272727273,0.6515151515151515,0.045454545454545456,0.7545454545454544,3.4638524174172187,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.6
blend_alpha_0.65,22,0.7727272727272727,0.6363636363636364,0.045454545454545456,0.759090909090909,3.461413513364066,0.08098730886850151,0.2050126911314985,0.020631243628950052,0.65
blend_alpha_0.70,22,0.7272727272727273,0.6060606060606061,0.0,0.7636363636363637,3.4626763507766674,0.08098730886850151,0.2050126911314985,0.020631243628950052,0.7
blend_alpha_0.75,22,0.6818181818181818,0.5909090909090909,0.0,0.7636363636363637,3.4708358907541244,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.75
blend_alpha_0.80,22,0.7272727272727273,0.5909090909090909,0.0,0.759090909090909,3.4828256806747353,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.8
blend_alpha_0.85,22,0.7272727272727273,0.606060606060606,0.0,0.759090909090909,3.500377755918914,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.85
blend_alpha_0.90,22,0.7272727272727273,0.606060606060606,0.0,0.75,3.5196224261804634,0.08098730886850151,0.2050126911314985,0.02063124362895005,0.9
blend_alpha_0.95,22,0.7272727272727273,0.5909090909090909,0.0,0.75,3.5432919033104024,0.08098730886850154,0.2050126911314985,0.02063124362895005,0.95
blend_alpha_1.00,22,0.7272727272727273,0.5606060606060606,0.0,0.7454545454545456,3.5695248114892473,0.08098730886850154,0.2050126911314985,0.02063124362895005,1.0
