,importance,model_ensemble_importance,random_forest_importance,extra_trees_importance,elastic_net_importance
grid_pos,0.35,0.0,0.0,0.0,0.0
driver_skill_rating,0.1567085135035238,0.241090020774652,0.3439102513645884,0.17989225581142673,0.11684059063293921
team_form3,0.10267284380570847,0.1579582212395515,0.22194595821555418,0.13234124734631936,0.05881551735670181
longstraight_team_form3,0.07292682388932924,0.11219511367589112,0.15008016733656687,0.11544039754136655,0.021274496174788694
team,0.06796952451663282,0.1045684992563582,0.018154146405691195,0.06854871432735218,0.3620354167961194
driver,0.06036463334366524,0.09286866668256191,0.013833490171927322,0.05434436879110811,0.3381153351415339
highdf_team_form3,0.0543919934592355,0.08367998993728538,0.08000788300303613,0.12337354670273999,0.02247850619980067
drv_form3,0.051129546102998524,0.07866084015845927,0.0694231331496176,0.12095354426902864,0.025433448734856666
highdf_driver_form3,0.036795334999673544,0.056608207691805454,0.0415004630742441,0.09322352342099975,0.026523830555228497
longstraight_driver_form3,0.02321550470981645,0.03571616109202531,0.025575265504174854,0.06916369032899035,0.0
deg_rate,0.0024693672562769056,0.0037990265481183164,0.004056908294374312,0.0032776603588537353,0.004131183450255344
surface_bumpiness,0.00233497593859404,0.003592270674760062,0.003193951204674399,0.002612181500942806,0.006203645536633
wind_sensitivity,0.0023188139514736736,0.0035674060791902667,0.003335492866728633,0.003754592714471522,0.003761634195486746
braking_intensity,0.00183313838917933,0.0028202129064297385,0.0033533794112414425,0.0037462633467745406,0.0
elevation_change_index,0.0017632124955589883,0.0027126346085522895,0.0018272787094990872,0.002517275392936371,0.00504656400874985
warmup_penalty,0.0016102391045402483,0.0024772909300619203,0.003199302498697181,0.0029645851589948256,0.0
track_limits_risk,0.0014716673110648894,0.0022641035554844453,0.0024857832304559955,0.001786198884055029,0.002601657461799935
stint_len_typical,0.0013010567877344567,0.0020016258272837796,0.0017016094639357262,0.0035311473386077223,0.0
corner_count,0.001248244506382738,0.0019203761636657508,0.002172838341530255,0.0026931397427918174,0.0
tow_importance,0.001160349852065333,0.0017851536185620508,0.0013071685548382275,0.0019177380026676137,0.002628597339755918
overtake_index,0.0011308173353414665,0.0017397189774484099,0.001530264825212757,0.0017451669216783036,0.002201456917576314
avg_speed_kph,0.0010744833904623428,0.0016530513699420657,0.0022513126691773356,0.0018284590537493274,0.0
long_straight_index,0.0009532224793300278,0.0014664961220461966,0.0015520409509543803,0.0021945076974763584,0.0
mechanical_failure_risk,0.0009114183141685612,0.0014021820217977863,0.0015490649820461494,0.0020145793710771975,0.0
expected_stops,0.0008485503066378569,0.0013054620102120875,0.0013266619956011844,0.002024183177690156,0.0
is_low_df,0.000806321148208889,0.0012404940741675215,0.00035230783134169167,0.002504017428200067,0.0010277472509686838
is_street,0.0003028545827151283,0.00046593012725404354,0.0003490877392791784,0.0008824018416526095,0.0
vsc_prob,9.692945268555337e-05,0.00014912223490085133,7.704652420230644e-06,0.00025692600850263516,0.0002786551916791261
pit_loss,9.538342962003755e-05,0.00014674373787698083,4.698131590547346e-06,0.0002515077894362847,0.0002830092617926743
sc_prob,9.423563737592744e-05,0.00014497790365527297,1.2385421000506789e-05,0.00021617973010954806,0.0003187077933335154
