model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.554485049833887,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.487707641196013,0.7167107281112015,0.1
rank_blend_0.15,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8235294117647057,2.422093023255814,0.7264389013523961,0.15
rank_blend_0.20,34,0.6176470588235294,0.6470588235294118,0.029411764705882353,0.8264705882352941,2.3624584717607977,0.7368085755378599,0.2
rank_blend_0.25,34,0.5882352941176471,0.6568627450980392,0.058823529411764705,0.8441176470588235,2.3122923588039868,0.7561387248397811,0.25
rank_blend_0.30,34,0.5882352941176471,0.6764705882352942,0.08823529411764706,0.8529411764705881,2.276079734219269,0.7626044499724157,0.3
rank_blend_0.35,34,0.5882352941176471,0.6568627450980393,0.11764705882352941,0.8529411764705881,2.2451827242524915,0.7727436521167173,0.35
rank_blend_0.40,34,0.5882352941176471,0.6568627450980393,0.14705882352941177,0.8558823529411764,2.2222591362126245,0.7756847201848113,0.4
rank_blend_0.45,34,0.5588235294117647,0.6568627450980392,0.11764705882352941,0.8588235294117647,2.2132890365448508,0.7808435948802002,0.45
rank_blend_0.50,34,0.6470588235294118,0.6372549019607843,0.17647058823529413,0.85,2.2093023255813953,0.7731233777149821,0.5
rank_blend_0.55,34,0.6470588235294118,0.6372549019607843,0.17647058823529413,0.8470588235294116,2.2259136212624586,0.7751415069480995,0.55
rank_blend_0.60,34,0.6470588235294118,0.6176470588235294,0.17647058823529413,0.8470588235294118,2.2514950166112957,0.7768315935566892,0.6
rank_blend_0.65,34,0.6470588235294118,0.6176470588235294,0.17647058823529413,0.8470588235294118,2.2867109634551492,0.775200894837573,0.65
rank_blend_0.70,34,0.5294117647058824,0.5980392156862744,0.11764705882352941,0.8470588235294118,2.337541528239203,0.7635017724641655,0.7
rank_blend_0.75,34,0.5,0.588235294117647,0.11764705882352941,0.8411764705882353,2.397840531561462,0.7573256987958318,0.75
rank_blend_0.80,34,0.5,0.5392156862745098,0.058823529411764705,0.8352941176470589,2.466112956810631,0.7495078109834074,0.8
rank_blend_0.85,34,0.5,0.5392156862745098,0.029411764705882353,0.8382352941176471,2.5398671096345513,0.7403747757736101,0.85
rank_blend_0.90,34,0.5,0.5294117647058824,0.029411764705882353,0.8323529411764706,2.6196013289036544,0.7319466736444518,0.9
rank_blend_0.95,34,0.5,0.4901960784313726,0.029411764705882353,0.8323529411764706,2.7024916943521595,0.7279685189150676,0.95
rank_blend_1.00,34,0.5,0.4901960784313726,0.029411764705882353,0.8323529411764706,2.7890365448504983,0.7279685189150676,1.0
