model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.551827242524917,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.4823920265780735,0.7164142472897708,0.1
rank_blend_0.15,34,0.5882352941176471,0.6470588235294118,0.08823529411764706,0.8264705882352941,2.414784053156146,0.7285486306930488,0.15
rank_blend_0.20,34,0.6176470588235294,0.6568627450980392,0.11764705882352941,0.8352941176470587,2.35514950166113,0.7387220880254936,0.2
rank_blend_0.25,34,0.5882352941176471,0.6666666666666666,0.11764705882352941,0.8470588235294116,2.303156146179402,0.7568694076821012,0.25
rank_blend_0.30,34,0.6176470588235294,0.6764705882352942,0.14705882352941177,0.85,2.2677740863787372,0.7628463960006483,0.3
rank_blend_0.35,34,0.6176470588235294,0.696078431372549,0.17647058823529413,0.8470588235294118,2.238704318936877,0.7675106301153469,0.35
rank_blend_0.40,34,0.6470588235294118,0.6666666666666666,0.14705882352941177,0.8529411764705881,2.2209302325581395,0.7749669205619852,0.4
rank_blend_0.45,34,0.6176470588235294,0.6666666666666666,0.14705882352941177,0.85,2.215116279069768,0.7715247577954735,0.45
rank_blend_0.50,34,0.5882352941176471,0.6568627450980392,0.17647058823529413,0.85,2.2142857142857144,0.7732017527182342,0.5
rank_blend_0.55,34,0.5882352941176471,0.6568627450980392,0.17647058823529413,0.85,2.236378737541528,0.7777633296709968,0.55
rank_blend_0.60,34,0.5882352941176471,0.6372549019607843,0.17647058823529413,0.85,2.2667774086378736,0.770586592579399,0.6
rank_blend_0.65,34,0.5882352941176471,0.6274509803921569,0.17647058823529413,0.8470588235294118,2.302491694352159,0.7673334087147601,0.65
rank_blend_0.70,34,0.47058823529411764,0.5980392156862744,0.14705882352941177,0.85,2.351495016611296,0.7638433820777657,0.7
rank_blend_0.75,34,0.47058823529411764,0.5882352941176471,0.11764705882352941,0.85,2.409468438538206,0.7533907799842965,0.75
rank_blend_0.80,34,0.5,0.5490196078431372,0.08823529411764706,0.8441176470588235,2.4787375415282393,0.7413472462097485,0.8
rank_blend_0.85,34,0.47058823529411764,0.5490196078431372,0.08823529411764706,0.838235294117647,2.558139534883721,0.733382231196837,0.85
rank_blend_0.90,34,0.47058823529411764,0.5588235294117647,0.08823529411764706,0.8323529411764706,2.6435215946843855,0.7258160289598097,0.9
rank_blend_0.95,34,0.47058823529411764,0.5294117647058824,0.058823529411764705,0.8294117647058823,2.7327242524916944,0.7204882131466542,0.95
rank_blend_1.00,34,0.47058823529411764,0.5294117647058824,0.058823529411764705,0.8294117647058823,2.8255813953488373,0.7204882131466542,1.0
