model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.554983388704319,0.7103025146710268,0.05
rank_blend_0.10,34,0.5588235294117647,0.6372549019607843,0.058823529411764705,0.8205882352941177,2.488372093023256,0.7162557628433608,0.1
rank_blend_0.15,34,0.5588235294117647,0.6470588235294118,0.08823529411764706,0.8235294117647058,2.4240863787375413,0.7286459761327726,0.15
rank_blend_0.20,34,0.6176470588235294,0.6470588235294118,0.11764705882352941,0.8323529411764706,2.3631229235880395,0.7369658592181813,0.2
rank_blend_0.25,34,0.6764705882352942,0.6862745098039215,0.14705882352941177,0.8470588235294116,2.313953488372093,0.7559336523368575,0.25
rank_blend_0.30,34,0.6764705882352942,0.6764705882352942,0.11764705882352941,0.85,2.2777408637873755,0.7639417781878172,0.3
rank_blend_0.35,34,0.6764705882352942,0.6862745098039217,0.14705882352941177,0.8529411764705882,2.249667774086379,0.7667035235146691,0.35
rank_blend_0.40,34,0.6764705882352942,0.6666666666666667,0.14705882352941177,0.8588235294117645,2.2335548172757473,0.7755555627823885,0.4
rank_blend_0.45,34,0.6176470588235294,0.6666666666666666,0.14705882352941177,0.8588235294117645,2.23156146179402,0.7817693438413709,0.45
rank_blend_0.50,34,0.5,0.607843137254902,0.08823529411764706,0.85,2.23421926910299,0.7664413562519554,0.5
rank_blend_0.55,34,0.5,0.607843137254902,0.08823529411764706,0.85,2.2601328903654485,0.7685539040574554,0.55
rank_blend_0.60,34,0.5,0.5686274509803921,0.058823529411764705,0.8441176470588236,2.292691029900332,0.7688578980055942,0.6
rank_blend_0.65,34,0.5,0.5588235294117647,0.058823529411764705,0.8470588235294118,2.3358803986710965,0.7683580541051858,0.65
rank_blend_0.70,34,0.47058823529411764,0.5686274509803921,0.08823529411764706,0.8411764705882353,2.390697674418605,0.759690274061518,0.7
rank_blend_0.75,34,0.4411764705882353,0.5686274509803921,0.08823529411764706,0.8441176470588235,2.4543189368770766,0.7495543073147335,0.75
rank_blend_0.80,34,0.47058823529411764,0.5490196078431372,0.058823529411764705,0.8411764705882352,2.5285714285714285,0.7430159942043024,0.8
rank_blend_0.85,34,0.47058823529411764,0.5294117647058824,0.058823529411764705,0.8382352941176471,2.61046511627907,0.7381416343627234,0.85
rank_blend_0.90,34,0.47058823529411764,0.5,0.058823529411764705,0.8323529411764706,2.697674418604651,0.7264328308127251,0.9
rank_blend_0.95,34,0.47058823529411764,0.4901960784313725,0.058823529411764705,0.8264705882352942,2.78953488372093,0.7191196816902515,0.95
rank_blend_1.00,34,0.47058823529411764,0.4901960784313725,0.058823529411764705,0.8264705882352942,2.8853820598006643,0.7191196816902515,1.0
