model,races,winner_accuracy,podium_overlap_accuracy,podium_exact_order_accuracy,top10_overlap_accuracy,mae_finish_position,spearman,alpha
rank_blend_0.00,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.622923588039867,0.7103025146710268,0.0
rank_blend_0.05,34,0.5,0.6372549019607843,0.058823529411764705,0.8147058823529412,2.637873754152824,0.7103025146710268,0.05
rank_blend_0.10,34,0.38235294117647056,0.6274509803921569,0.029411764705882353,0.8117647058823528,2.6621262458471757,0.7071005468155349,0.1
rank_blend_0.15,34,0.23529411764705882,0.6470588235294118,0.029411764705882353,0.8117647058823528,2.720764119601329,0.6990910951186856,0.15
rank_blend_0.20,34,0.20588235294117646,0.588235294117647,0.0,0.8058823529411765,2.824916943521595,0.6896835931324184,0.2
rank_blend_0.25,34,0.14705882352941177,0.5196078431372548,0.0,0.7970588235294117,2.956810631229236,0.6735383174465309,0.25
rank_blend_0.30,34,0.14705882352941177,0.5196078431372548,0.0,0.7941176470588235,3.106976744186046,0.6565453425952424,0.3
rank_blend_0.35,34,0.11764705882352941,0.4999999999999999,0.0,0.7794117647058822,3.2794019933554814,0.6265276663177773,0.35
rank_blend_0.40,34,0.08823529411764706,0.4215686274509804,0.0,0.7617647058823529,3.4654485049833883,0.5776385167069925,0.4
rank_blend_0.45,34,0.08823529411764706,0.40196078431372545,0.0,0.7264705882352942,3.66295681063123,0.5210378221305193,0.45
rank_blend_0.50,34,0.08823529411764706,0.3235294117647059,0.0,0.6852941176470587,3.87375415282392,0.41857832797324696,0.5
rank_blend_0.55,34,0.08823529411764706,0.29411764705882354,0.0,0.6588235294117647,4.097508305647841,0.3664079432678048,0.55
rank_blend_0.60,34,0.08823529411764706,0.22549019607843135,0.0,0.6352941176470588,4.327242524916944,0.2818379376041915,0.6
rank_blend_0.65,34,0.029411764705882353,0.196078431372549,0.0,0.6235294117647059,4.564617940199336,0.21206038619305786,0.65
rank_blend_0.70,34,0.029411764705882353,0.1372549019607843,0.0,0.6058823529411764,4.806976744186046,0.1604841388806058,0.7
rank_blend_0.75,34,0.0,0.11764705882352941,0.0,0.585294117647059,5.0523255813953485,0.09317723874498596,0.75
rank_blend_0.80,34,0.0,0.10784313725490194,0.0,0.573529411764706,5.298671096345515,0.04583623518471452,0.8
rank_blend_0.85,34,0.0,0.058823529411764705,0.0,0.5647058823529413,5.548504983388704,0.010679880430381252,0.85
rank_blend_0.90,34,0.0,0.029411764705882353,0.0,0.5588235294117648,5.803654485049834,-0.04990222928895302,0.9
rank_blend_0.95,34,0.0,0.0196078431372549,0.0,0.5470588235294118,6.060465116279069,-0.08530535815183421,0.95
rank_blend_1.00,34,0.0,0.0196078431372549,0.0,0.5470588235294118,6.3172757475083055,-0.08605723785108232,1.0
